Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Between Protest and Counter-Expertise: User Knowledge, Activism, and the Making of Urban Cycling Networks in the Netherlands Since the 1970s","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","3","10.1007/s00048-022-00341-y","Henk-Jan Dekker","2022","http://link.springer.com/article/10.1007/s00048-022-00341-y","Article"
"Ein Botaniker in der Papiergeschichte: Offene und geschlossene Kooperationen in den Wissenschaften um 1900","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","1","10.1007/s00048-020-00239-7","Josephine Musil-GutschKärin Nickelsen","2020","http://link.springer.com/article/10.1007/s00048-020-00239-7","Article"
"„Die ungeklärten Gefahrenpotentiale der Gentechnologie“. Öffentliche Wissenschaft, Inszenierungsstrategien und Rhetorik der Objektivität im Kontext der bundesdeutschen Gentechnologie-Debatte","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00346-7","Anna Maria Schmidt","2022","http://link.springer.com/article/10.1007/s00048-022-00346-7","Article"
"Umwelt-Sein. Mutterschaft, Entwicklung und Psychologie, 1930–1990","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","1","10.1007/s00048-020-00277-1","Susanne Schmidt","2021","http://link.springer.com/article/10.1007/s00048-020-00277-1","Article"
"Diaries as “Soul Portraits”? Interpretation and Theorization of Adolescents’ Self-Descriptions in the German-Speaking Youth Psychology of the 1920s and 1930s","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","3","10.1007/s00048-021-00308-5","Carla Seemann","2021","http://link.springer.com/article/10.1007/s00048-021-00308-5","Article"
"„Der neue Weg“: Mit „interatomarer Energie“ zum „Herrn der Welt“ werden","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00241-z","Klaus Hentschel","2020","http://link.springer.com/article/10.1007/s00048-020-00241-z","Article"
"Graphology in Germany in the 1920s and 1930s","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00246-8","Laurens Schlicht","2020","http://link.springer.com/article/10.1007/s00048-020-00246-8","Article"
"Between Stigmatization and Acceptance: Diabetic Patients as Civil Servants in West Germany, 1950–1970","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","1","10.1007/s00048-022-00325-y","Livia Prüll","2022","http://link.springer.com/article/10.1007/s00048-022-00325-y","Article"
"Biografie, sozialer Kontext und Körper im Experiment: Evidenz durch integrierte Methodik am Beispiel der Blutdruckforschung bei Thure von Uexküll","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","4","10.1007/s00048-021-00315-6","Volker Roelcke","2021","http://link.springer.com/article/10.1007/s00048-021-00315-6","Article"
"“We Witches.” Knowledge Wars, Experience and Spirituality in the Women’s Movement During the 1970s","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","","","10.1007/s00048-023-00359-w","Anne Kwaschik","2023","http://link.springer.com/article/10.1007/s00048-023-00359-w","Article"
"Umweltfürsorge im Krankenhaus: Hygienische Sauberkeit und die feminisierte Arbeit an der Atmosphäre","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","1","10.1007/s00048-020-00289-x","Käthe von Bose","2021","http://link.springer.com/article/10.1007/s00048-020-00289-x","Article"
"Zeitlichkeit des Gegenwissens in der Ökologischen Landbau-Szene der Bundesrepublik (1970–1999): aus Alt mach Neu!","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00351-w","Alexander von Schwerin","2022","http://link.springer.com/article/10.1007/s00048-022-00351-w","Article"
"Die materielle Kultur der Alchemie oder Wie sich wissenschaftsgeschichtliche Replikationen und buchwissenschaftliche Analysen ergänzen","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","31","1","10.1007/s00048-022-00337-8","Ute Frietsch","2023","http://link.springer.com/article/10.1007/s00048-022-00337-8","Article"
"Über mediale Präsenz und Prominenz DNA-gestützter Vergangenheitsforschung","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-020-00249-5","Stefanie Samida","2020","http://link.springer.com/article/10.1007/s00048-020-00249-5","Article"
"Heinrich Wieleitner (1874–1931) und Die Geburt der modernen Mathematik – Wissenschaftskommunikation und Mathematikgeschichtsschreibung in der Weimarer Zeit","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","31","1","10.1007/s00048-022-00356-5","Maria M. Remenyi","2023","http://link.springer.com/article/10.1007/s00048-022-00356-5","Article"
"The Historical Dynamics of Resource Frontiers","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","2","10.1007/s00048-019-00237-4","Per Högselius","2020","http://link.springer.com/article/10.1007/s00048-019-00237-4","Article"
"Epistemologische Neupositionierungen. Alexander Mitscherlich zwischen „naturwissenschaftlicher Methodik“, Psychoanalyse und Psychosomatischer Medizin","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","4","10.1007/s00048-021-00318-3","Steffen Dörre","2021","http://link.springer.com/article/10.1007/s00048-021-00318-3","Article"
"Modellierte Individualentwicklung. Humanembryologische Praktiken an der Universität Göttingen in der zweiten Hälfte des 20. Jahrhunderts","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","4","10.1007/s00048-020-00275-3","Michael Markert","2020","http://link.springer.com/article/10.1007/s00048-020-00275-3","Article"
"The Making of Evident Expertise: Transforming Chemical Analytical Methods into Judicial Evidence","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","3","10.1007/s00048-021-00306-7","Marcus B. Carrier","2021","http://link.springer.com/article/10.1007/s00048-021-00306-7","Article"
"Atomic Technologies and Nuclear Safety Practices in Spain During the 1960s","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","2","10.1007/s00048-022-00335-w","Ana Romero de Pablos","2022","http://link.springer.com/article/10.1007/s00048-022-00335-w","Article"
"Fighting Science with Science: Counter-Expertise Production in Anti-Shale Gas Mobilizations in France and Poland","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","3","10.1007/s00048-022-00342-x","Roberto Cantoni","2022","http://link.springer.com/article/10.1007/s00048-022-00342-x","Article"
"Technopolitical Construction of a River Basin: Turkey’s Encounters and Adventures with the “TVA Idea”","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","","","10.1007/s00048-023-00357-y","Aybike Alkan","2023","http://link.springer.com/article/10.1007/s00048-023-00357-y","Article"
"Ronald D. Laings „radical trip“. Zum Verhältnis von Psychiatrie, Anti-Psychiatrie und Wissenschaft in den 1960er Jahren","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00347-6","Marina Lienhard","2022","http://link.springer.com/article/10.1007/s00048-022-00347-6","Article"
"Commenting on Aristotle with a Knife","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","31","1","10.1007/s00048-022-00354-7","Fabrizio Bigotti","2023","http://link.springer.com/article/10.1007/s00048-022-00354-7","Article"
"Das Nest als Umwelt. Eine historische Epistemologie des Nestbauinstinkts in der Schwangerschaft","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","1","10.1007/s00048-020-00285-1","Lisa Malich","2021","http://link.springer.com/article/10.1007/s00048-020-00285-1","Article"
"Kausalität, Evidenz und Subjektivität: Paul Martinis Methodenkritik der Psychosomatischen Medizin","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","4","10.1007/s00048-021-00316-5","Hans-Georg Hofer","2021","http://link.springer.com/article/10.1007/s00048-021-00316-5","Article"
"„Prächtiges Menschenmaterial“ – Anthropometrische Konstitutionsforschung auf der Suche nach dem statistischen Normalkörper (1914–1922)","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","1","10.1007/s00048-020-00240-0","Nadine Metzger","2020","http://link.springer.com/article/10.1007/s00048-020-00240-0","Article"
"1945–1964 WHO’s Right to Health?","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","2","10.1007/s00048-022-00333-y","Linda M. Richards","2022","http://link.springer.com/article/10.1007/s00048-022-00333-y","Article"
"Was ist das Anthropozän und was wird es gewesen sein? Ein kritischer Überblick über neue Literatur zum kontemporären Erdzeitalter","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","4","10.1007/s00048-020-00269-1","Andreas Folkers","2020","http://link.springer.com/article/10.1007/s00048-020-00269-1","Article"
"Social Resistance and Spatial Knowledge: Protest Against Cruise Ships in Venice","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","3","10.1007/s00048-022-00340-z","Janine Schemmer","2022","http://link.springer.com/article/10.1007/s00048-022-00340-z","Article"
"Radiation Risk in Cold War Mexico: Local and Global Networks","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","2","10.1007/s00048-022-00331-0","Ana Barahona","2022","http://link.springer.com/article/10.1007/s00048-022-00331-0","Article"
"Technological Solutions and Contested Interpretations of Scientific Results: Risk Assessment of Diesel Emissions in the United States and in West Germany, 1977–1995","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","4","10.1007/s00048-020-00276-2","Christopher Neumaier","2020","http://link.springer.com/article/10.1007/s00048-020-00276-2","Article"
"Ein Scharnier zwischen Eugenik und Recht – der „medizinisch-juristische“ Kommentar im „Dritten Reich“","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","3","10.1007/s00048-021-00307-6","Vivian Yurdakul","2021","http://link.springer.com/article/10.1007/s00048-021-00307-6","Article"
"Gründerzeit. Hightech und Alternativen der Wissenschaft in West-Berlin","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00352-9","Max Stadler","2022","http://link.springer.com/article/10.1007/s00048-022-00352-9","Article"
"Gomastahs, Peons, Police and Chowdranies: The Role of Indian Subordinate in the Functioning of the Lock Hospitals and the Indian Contagious Diseases Act, 1805 to 1889","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","1","10.1007/s00048-022-00324-z","Divya Rama Gopalakrishnan","2022","http://link.springer.com/article/10.1007/s00048-022-00324-z","Article"
"Forschen in einer extremen Umwelt","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","2","10.1007/s00048-021-00298-4","Eike-Christian Heine","2021","http://link.springer.com/article/10.1007/s00048-021-00298-4","Article"
"Über Geschmack lässt sich nicht streiten?","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","","","10.1007/s00048-023-00358-x","Maximilian Haars","2023","http://link.springer.com/article/10.1007/s00048-023-00358-x","Article"
"Motivationspsychologen als politische Aktivisten: Zur Politik der Selbststeuerung in den USA der langen 1960er Jahre","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00348-5","Lukas Held","2022","http://link.springer.com/article/10.1007/s00048-022-00348-5","Article"
"Ein weiteres Kleid – Zur Wissensgeschichte häuslich-textiler Umgebungen im 19. Jahrhundert","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","29","1","10.1007/s00048-020-00290-4","Kira Jürjens","2021","http://link.springer.com/article/10.1007/s00048-020-00290-4","Article"
"Competitive Cooperation","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","1","10.1007/s00048-022-00322-1","Vanessa Osganian","2022","http://link.springer.com/article/10.1007/s00048-022-00322-1","Article"
"Gegenexpert*innen: Umwelt, Aktivismus und die regionalen Epistemologien des Widerstandes","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","4","10.1007/s00048-022-00350-x","Nils Güttler","2022","http://link.springer.com/article/10.1007/s00048-022-00350-x","Article"
"The Global Experiment: How the International Atomic Energy Agency Proved Dosimetry to Be a Techno-Diplomatic Issue","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","30","2","10.1007/s00048-022-00336-9","Maria Rentetzi","2022","http://link.springer.com/article/10.1007/s00048-022-00336-9","Article"
"Auf dem Weg zur „Einheit“: Józef Chałasiński und die Suche nach einer „erlaubten“ Genealogie der Soziologie im Nachkriegspolen (1945–1951)","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","28","4","10.1007/s00048-020-00267-3","Aleksei Lokhmatov","2020","http://link.springer.com/article/10.1007/s00048-020-00267-3","Article"
"„Man lasse doch diese Dinge selber einmal sprechen“","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","17","4","10.1007/s00048-009-0356-z","Viola van Beek","2009","http://link.springer.com/article/10.1007/s00048-009-0356-z","Article"
"Burning Issues: Cremation and Incineration in Modern India","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","24","4","10.1007/s00048-017-0158-7","David Arnold","2016","http://link.springer.com/article/10.1007/s00048-017-0158-7","Article"
"On Power","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","25","1","10.1007/s00048-017-0165-8","Patrick KupperOdinn MelstedIrene Pallua","2017","http://link.springer.com/article/10.1007/s00048-017-0165-8","Article"
"Kinder, sammelt Knochen!","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","26","2","10.1007/s00048-018-0194-y","Elisabeth VaupelFlorian Preiß","2018","http://link.springer.com/article/10.1007/s00048-018-0194-y","Article"
"“If there is nothing beyond the organic...”","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","17","2","10.1007/s00048-009-0333-6","Maria E. Kronfeldner","2009","http://link.springer.com/article/10.1007/s00048-009-0333-6","Article"
"Das Alphabet der Natur und das Alphabet der Kultur im 18. Jahrhundert","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","18","1","10.1007/s00048-009-0007-4","Martin Gierl","2010","http://link.springer.com/article/10.1007/s00048-009-0007-4","Article"
"The Unseeing State: How Ideals of Modernity Have Undermined Innovation in Africa’s Urban Water Systems","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","24","4","10.1007/s00048-017-0160-0","David Nilsson","2016","http://link.springer.com/article/10.1007/s00048-017-0160-0","Article"
"Race and Genomics. Old Wine in New Bottles?","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","16","3","10.1007/s00048-008-0301-6","Staffan Müller-WilleHans-Jörg Rheinberger","2008","http://link.springer.com/article/10.1007/s00048-008-0301-6","Article"
"Die zwei (und mehr) Kulturen des „Klons“","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","17","3","10.1007/s00048-009-0343-4","Christina Brandt","2009","http://link.springer.com/article/10.1007/s00048-009-0343-4","Article"
"Toxic Tales—Recent Histories of Pollution, Poisoning, and Pesticides (ca. 1800–2010)","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","26","2","10.1007/s00048-018-0190-2","Claas Kirchhelle","2018","http://link.springer.com/article/10.1007/s00048-018-0190-2","Article"
"Die technowissenschaftlichen Laboratorien der Frühen Neuzeit","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","16","1","10.1007/s00048-007-0279-5","Ursula Klein","2008","http://link.springer.com/article/10.1007/s00048-007-0279-5","Article"
"Die Regeln der Eisenhüttenkunde","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","18","1","10.1007/s00048-009-0008-3","Stefan Krebs","2010","http://link.springer.com/article/10.1007/s00048-009-0008-3","Article"
"Johannes de Sacrobosco und die Sphaera-Tradition in der katholischen Zensur der Frühen Neuzeit","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","26","4","10.1007/s00048-018-0199-6","Christoph Sander","2018","http://link.springer.com/article/10.1007/s00048-018-0199-6","Article"
"Big Biology","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","24","2","10.1007/s00048-016-0141-8","Niki Vermeulen","2016","http://link.springer.com/article/10.1007/s00048-016-0141-8","Article"
"Die Historizität der Verdatung: Konzepte, Werkzeuge und Praktiken im 19. Jahrhundert","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","25","4","10.1007/s00048-017-0183-6","Christine von Oertzen","2017","http://link.springer.com/article/10.1007/s00048-017-0183-6","Article"
"Zum Aufbau der Atmosphärenwissenschaften in der BRD seit 1968","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","24","1","10.1007/s00048-016-0137-4","Gregor Lax","2016","http://link.springer.com/article/10.1007/s00048-016-0137-4","Article"
"The Weighing Chair of Sanctorius Sanctorius: A Replica","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","26","2","10.1007/s00048-018-0193-z","Teresa Hollerbach","2018","http://link.springer.com/article/10.1007/s00048-018-0193-z","Article"
"Der psychophysische Parallelismus","NTM Zeitschrift für Geschichte der Wissenschaften, Technik und Medizin","","17","3","10.1007/s00048-009-0344-3","Mai Wegener","2009","http://link.springer.com/article/10.1007/s00048-009-0344-3","Article""Correction to: Selection of DNA aptamer and its application as an electrical biosensor for Zika virus detection in human serum","Nano Convergence","","9","1","10.1186/s40580-022-00340-8","Goeun ParkMyoungro LeeJiatong KangChulwhan ParkJunhong MinTaek Lee","2022","http://link.springer.com/article/10.1186/s40580-022-00340-8","Article"
"Correction: Investigation of the mechanism of the anomalous Hall effects in Cr2Te3/(BiSb)2(TeSe)3 heterostructure","Nano Convergence","","10","1","10.1186/s40580-023-00360-y","Seong Won ChoIn Hak LeeYoungwoong LeeSangheon KimYeong Gwang KhimSeung-Young ParkYounghun JoJunwoo ChoiSeungwu HanYoung Jun ChangSuyoun Lee","2023","http://link.springer.com/article/10.1186/s40580-023-00360-y","Article"
"Correction to: WS2–WC–WO3 nano‑hollow spheres as an efficient and durable catalyst for hydrogen evolution reaction","Nano Convergence","","8","1","10.1186/s40580-021-00284-5","Tuan Van NguyenHa Huu DoMahider TekalgneQuyet Van LeThang Phan NguyenSung Hyun HongJin Hyuk ChoDung Van DaoSang Hyun AhnSoo Young Kim","2021","http://link.springer.com/article/10.1186/s40580-021-00284-5","Article"
