PARSMitteilungen;PARSMitteilungen Computer Science general;
Palaeobiodiversity and Palaeoenvironments;Palaeobiodiversity and Palaeoenvironments Paleontology Biodiversity Animal SystematicsTaxonomyBiogeography Plant SystematicsTaxonomyBiogeography Freshwater Marine Ecology;Palaeobiodiversity and Palaeoenvironments is an international journal providing a multidisciplinary approach in the fields of Palaeobiodiversity Palaeoenvironments and Palaeobiogeography in Earth History It is a relaunch of the wellknown Senckenbergiana lethaea and incorporates peerreviewed original research review papers and short notes spanning a broad scope of subject matter Its principal fields of interest are biodiversity of fossil organisms and their palaeoenvironment comparison of modern and ancient sedimentary environments palaeoecology and palaeobiogeography Coverage includes systematic studies of all fossil animal plant groups with a special focus on palaeoenvironmental investigations palaeoecosystems and climate changes in Earths history environmentorganism interaction comparison of modern and ancient sedimentary environments palaeoecology and palaeobiogeography Please note The journal uses software to screen submitted manuscripts for plagiarism Why publish in Paleobiodiversity and Palaeoenvironments The journals diverse and international editorial board includes representation across many subspecialties of research The journal welcomes authors to collaborate and contribute to special topical collections and supplements for consideration PBPE is the official journal of the Senckenberg Institute and welcomes original submissions from all regions of the world The journal is pleased to announce that its 2021 impact factor is 1736 and it is ranked in two Clarivate categories Biodiversity Conservation and Paleontology
Paleontological Journal;Paleontological Journal Paleontology;Paleontological Journal is an international peerreviewed journal that publishes original work on the anatomy morphology and taxonomy of fossil organisms as well as their distribution ecology and origin It also publishes studies on the evolution of organisms ecosystems and the biosphere and provides information on global biostratigraphy with an emphasis on Eastern Europe and Asia The journal welcomes manuscripts from all countries PEER REVIEW Paleontological Journal is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 30 days The average rejection rate for submitted manuscripts is 35 The final decision on the acceptance of an article for publication is made by the EditorinChief Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Presents original work on the anatomy morphology and taxonomy of fossil organisms Also explores the distribution ecology and origin of fossils Presents studies on evolution of organisms ecosystems and biosphere along with invaluable information on biostratigraphy Places emphasis on Eastern Europe and Asia
Pallium;Pallium Nursing Quality of Life Research Health Psychology;Pallium volgt de medische en verpleegkundige ontwikkelingen op het gebied van palliatieve zorg Daarbij is de praktijk de belangrijkste leidraad Hoewel de ontwikkelingen in Nederland en Vlaanderen vooral betrekking hebben op de zorg voor stervenden streeft de redactie ernaar een breder spectrum van palliatieve zorgverlening te beschrijven Pallium is bestemd voor huisartsen verpleeghuisartsen en verpleegkundigen maar heeft ook aan medisch specialisten maatschappelijk werkers vrijwilligers paramedici en psychologen veel te bieden
Papers in Regional Science;Papers in Regional Science RegionalSpatial Science Geography general;
Parasites Vectors;Parasites Vectors Parasitology Entomology Tropical Medicine Infectious Diseases Veterinary MedicineVeterinary Science Virology;
Parasitology Research;Parasitology Research Medical Microbiology Microbiology Immunology;The journal Parasitology Research covers the latest developments in parasitology across a variety of disciplines including biology medicine and veterinary medicine Among many topics discussed are chemotherapy and control of parasitic disease and the relationship of host and parasite Other coverage includes Protozoology Helminthology Entomology Morphology incl Pathomorphology Ultrastructure Biochemistry Physiology including Molecular Biology ParasiteHostRelationships including Immunology and Host Specificity Life History Ecology and Epidemiology and Diagnosis Chemotherapy and Control of Parasitic Diseases Takes a thorough wideranging view of parasites and their mechanisms of operation Covers a range of related fields Examines use of chemotherapy in treatment of parasitic diseases 99 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Partial Differential Equations and Applications;Partial Differential Equations and Applications Partial Differential Equations Analysis Numerical Analysis Theoretical Mathematical and Computational Physics Mathematical and Computational Engineering Mathematical and Computational Biology;Partial Differential Equations and Applications PDEA offers a single platform for all PDEbased research bridging the areas of Mathematical Analysis Computational Mathematics and applications of Mathematics in the Sciences It thus encourages and amplifies the transfer of knowledge between scientists with different backgrounds and from different disciplines who study solve or apply the same types of equations PDEA accepts both original research as well as review articles of high quality providing thorough and fast peerreview The journal is organized in three sections Theory of PDEs Covering topics in elliptic parabolic and hyperbolic PDEs PDEs on manifolds fractional PDEs calculus of variations functional analysis ODEs and a range of further topics from Mathematical Analysis Computational approaches to PDEs Covering all areas in Numerical Analysis and Computational Mathematics with relation to PDEs Here the main emphasis is on the numerical method rather than the particular application Applications of PDEs in the sciences Covering applications in Mathematical Physics Chemistry Biology Engineering and also in the Life and SocialSciences Both analytic and computational methods are welcome As a bridge between the different communities the journal further invites dedicated Knowledge Transfer Papers These may be interdisciplinary review papers highlighting different perspectives on the same type of equation discussions of open problems and challenges in one community inviting research activity from another and reviews of recent results written for nonexperts amplifying the dissemination of knowledge PDEA offers Topical Collections designed to consolidate publications of a specific research topic Articles can be either released as direct papers or within a Topical Collection
Particle and Fibre Toxicology;Particle and Fibre Toxicology PharmacologyToxicology PneumologyRespiratory System Nanotechnology Public Health Environmental Health;
Pastoral Psychology;Pastoral Psychology Clinical Psychology Religious Studies general Cross Cultural Psychology Sociology general;Pastoral Psychology founded in 1950 is one of the most wellestablished and respected journals in the field of psychology and religionspirituality Pastoral Psychology is an international forum that publishes scholarly peerreviewed original articles that address varied aspects of religion and spirituality from physical human science and interfaith perspectives Historically the word pastoral has referred to the care of individuals families and communities Today we additionally consider pastoral in terms of lived experience as it relates to embodiment the socialpolitical economic spiritual and environmental dimensions of life All theoretical perspectives are welcome as Pastoral Psychology regularly publishes articles from a variety of schools of thought including but not limited to psychoanalytic and other dynamic psychologies cognitive psychologies experimental and empirical psychologies humanistic psychology transpersonal psychology and cultural psychology Insights from existential perspectives intersectional theories philosophical and theological theories gender and queer studies sociology anthropology public mental health and cultural and empirical studies are welcome Theoretical contributions that have direct or indirect relevance for practice broadly construed are especially desirable as our intended audience includes not only academics and scholars in religion and science but also religious and spiritual leaders as well as caregivers chaplains social workers counselorstherapists clinical psychologists psychiatrists and persons interested in matters of religionspirituality and psychology Pastoral Psychology welcomes scholarship and reflection from all religious and spiritual traditions In addition to scholarly research papers the journal welcomes thoughtful essays on a wide range of issues and various genres of writing including book reviews and film reviews The community of scholars represented in its pages has demonstrated that the life challenges the journal seeks to address are universally shared yet also reflect individual social cultural and religious locations The journal therefore welcomes submissions from scholars from around the world Relates psychological and behavioral science research with the work of pastoral ministry Examines the practice of pastoral care and counseling through diverse religious and psychological perspectives
Pastoralism;Pastoralism Environmental Management Anthropology Ecosystems Sustainable Development Applied Ecology Agriculture;
PathoGenetics;PathoGenetics Human Genetics Cell Biology;
Pathology Oncology Research;Pathology Oncology Research Cancer Research Oncology Pathology Immunology Biomedicine general;
Patient Safety in Surgery;Patient Safety in Surgery Surgery;
Pattern Analysis and Applications;Pattern Analysis and Applications Pattern Recognition;This journal presents original research that describes novel pattern analysis techniques as well as industrial and medical applications It details new technology and methods for pattern recognition and analysis in applied domains including computer vision and image processing speech analysis robotics multimedia document analysis character recognition knowledge engineering for pattern recognition fractal analysis and intelligent control Pattern Analysis and Applications PAA also examines the use of advanced methods including statistical techniques neural networks genetic algorithms fuzzy pattern recognition machine learning and hardware implementations which are either relevant to the development of pattern analysis as a research area or detail novel pattern analysis applications The journal contains casestudies as well as reviews on benchmarks evaluations of tools and important research activities at international centers of excellence For all submissionrelated enquiries please contact the Journal Editorial Office via Contacts or the Senior Editor Dragos Calitoiu at calitoiumathcarletonca Describes novel pattern analysis techniques as well as industrial and medical applications Details new technology and methods for pattern recognition and analysis in applied domains Examines the use of advanced methods Contains casestudies as well as reviews on benchmarks evaluations of tools and important research activities at international centers of excellence
Pattern Recognition and Image Analysis;Pattern Recognition and Image Analysis Pattern Recognition Image Processing and Computer Vision;Pattern Recognition and Image Analysis is an international peerreviewed journal that publish the results of fundamental and applied scientific research in the field of image processing recognition analysis and understanding pattern recognition artificial intelligence and related fields of theoretical and applied computer science and applied mathematics The policy of the journal provides for the rapid publication of original scientific articles analytical reviews articles of the worlds leading scientists and specialists on the subject of the journal solicited by the editorial board special thematic issues proceedings of the worlds leading scientific conferences and seminars as well as short reports containing new results of fundamental and applied research in the field of mathematical theory and methodology of image analysis mathematical theory and methodology of image recognition and mathematical foundations and methodology of artificial intelligence The journal also publishes articles on the use of the apparatus and methods of the mathematical theory of image analysis and the mathematical theory of image recognition for the development of new information technologies and their supporting software and algorithmic complexes and systems for solving complex and particularly important applied problems The main scientific areas are the mathematical theory of image analysis and the mathematical theory of pattern recognition The journal also embraces the problems of analyzing and evaluating poorly formalized poorly structured incomplete contradictory and noisy information including artificial intelligence bioinformatics medical informatics data mining big data analysis machine vision data representation and modeling data and knowledge extraction from images machine learning forecasting machine graphics databases knowledge bases medical and technical diagnostics neural networks specialized software specialized computational architectures for information analysis and evaluation linguistic psychological psychophysical and physiological aspects of image analysis and pattern recognition applied problems and related problems Pattern Recognition and Image Analysis is a hybrid journal that publishes mostly subscription articles that are free of charge for the authors but also accepts Open Access articles with article processing charges The journal is one of the top ten global periodicals on image analysis and pattern recognition and is the only publication on this topic in Central and Eastern Europe The journal welcomes manuscripts from all countries PEER REVIEW Pattern Recognition and Image Analysis is the journal in which all articles are peer reviewed We use a single blind peer review format The final decision on the publication of the manuscript is made by the EditorinChief together with the Deputy EditorsinChief and if necessary together with other members of the editorial board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Features top papers in pattern recognition image recognition analysis understanding and processing Places emphasis on the rapid publishing of concise articles covering theory methodology and practical applications Editorial Board is headed by Yuri Zhuravlev a prominent Russian mathematician and Full Member of the Russian Academy of Sciences
Pediatric Cardiology;Pediatric Cardiology Cardiology Cardiac Surgery Vascular Surgery;The editor of Pediatric Cardiology welcomes original manuscripts concerning all aspects of heart disease in infants children adolescents and adults including embryology and anatomy physiology and pharmacology biochemistry pathology genetics radiology clinical aspects investigative cardiology electrophysiology echocardiography interventional cardiology and cardiac surgery Articles which may include original articles review articles letters to the editor etc must be written in English and must be submitted solely to Pediatric Cardiology 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Pediatric Drugs;Pediatric Drugs Pediatrics Pharmacotherapy Internal Medicine;Pediatric Drugs promotes the optimization and advancement of all aspects of pharmacotherapy for healthcare professionals interested in pediatric drug therapy including vaccines The program of reviews and original research articles provides healthcare decision makers with clinically applicable knowledge on issues relevant to drug therapy in all areas of neonatology and the care of children and adolescents including the pharmacology efficacy and adverse effects of the major classes of drugs information on newly developed drugs and drug classes the therapeutic implications of latest research into the aetiology of pediatric conditions and the practical management of specific clinical situations As a hybrid journal Pediatric Drugs does not charge authors to publish using the traditional subscriptionbased publishing route but does offer the option to publish accepted articles open access if authors so wish or if their funders require This is achieved via the Springer Open Choice initiative More information about this optional route to open access and the associated article processing charge can be found by clicking on the How to publish with us including Open Access link below Pediatric Drugs offers a range of additional features designed to increase the visibility readership and educational value of the journals content Each article is accompanied by a Key Points summary giving a timeefficient overview of the content to a wide readership Articles may be accompanied by plain language summaries to assist readers who have some knowledge of but not indepth expertise in the area to understand the scientific content and overall implications of the article The journal also provides the option to include various types of digital features including animated abstracts video abstracts slide decks audio slides instructional videos infographics podcasts and animations All additional features are peer reviewed to the same high standard as the article itself Peer review is conducted using Editorial Manager supported by a database of international experts This database is shared with other Adis journals All manuscripts are subject to peer review by international experts Letters to the Editor are welcomed and will be considered for publication
Pediatric Nephrology;Pediatric Nephrology Pediatrics Nephrology Urology;International Pediatric Nephrology Association Pediatric Nephrology publishes original clinical research related to acute and chronic diseases that affect renal function blood pressure and fluid and electrolyte disorders in children Studies may involve medical surgical nutritional physiologic biochemical genetic pathologic or immunologic aspects of disease imaging techniques or consequences of acute or chronic kidney disease There are 12 issues per year that contain Editorial Commentaries Reviews Educational Reviews Original Articles Brief Reports Rapid Communications Clinical Quizzes and Letters to the Editors Covers all aspects of acute and chronic diseases that affect renal function in children as well as on hypertension and fluid and electrolyte metabolism Publishes original clinical research and new or important clinical observations Reviews important new developments or controversial issues in the field through invited contributions from recognized authorities Ranks on position 19 in Pediatrics 98 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Pediatric Radiology;Pediatric Radiology Imaging Radiology Pediatrics Neuroradiology Nuclear Medicine Ultrasound Oncology;Pediatric Radiology informs its readers of new findings and progress in all areas of pediatric imaging and in related fields This is achieved by a blend of original papers and reviews describing the present state of knowledge in a particular topic Contents include advances in technology methodology apparatus and auxiliary equipment are presented and modifications of standard techniques This is the official journal of the European Society of Paediatric Radiology the Society for Pediatric Radiology the Asian and Oceanic Society for Pediatric Radiology and the Latin American Society of Pediatric Radiology Reports findings and progress in all areas of pediatric and fetal imaging Covers advances in technology methodology apparatus and auxiliary equipment and modifications of standard technique Official journal of the European Society of Paediatric Radiology the Society for Pediatric Radiology the Asian and Oceanic Society for Pediatric Radiology and the Latin American Society of Pediatric Radiology 97 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Pediatric Rheumatology;Pediatric Rheumatology Pediatrics Rheumatology;
Pediatric Surgery International;Pediatric Surgery International Pediatrics Surgery Pediatric Surgery;Pediatric Surgery International publishes new and important information from the entire spectrum of pediatric surgery Another key goal is to promote postgraduate training and further education in the surgery of infants and children The contents include articles in clinical and experimental surgery as well as related fields
Pediatric and Developmental Pathology;Pediatric and Developmental Pathology Pathology;
PeertoPeer Networking and Applications;PeertoPeer Networking and Applications Communications Engineering Networks Information Systems and Communication Service Computer Communication Networks Signal Image and Speech Processing;PeertoPeer Networking and Applications disseminates stateoftheart research and development results to facilitate effective deployment of P2P networking and applications The journal brings together and fosters interaction among academic and industrial communities to promote further research that leads to new P2P applications and services This journal not only addresses research topics related to networking and communications theory but also considers the standardization economic and engineering aspects of P2P technologies and their impact on software engineering computer engineering networked communication and security It includes papers addressing system application and service issues PeertoPeer Networking and Applications publishes original research papers tutorials reviews case studies and correspondences from the research development and standardization communities Helps facilitate effective deployment of P2P networking and applications Brings together and fosters interaction among academic and industrial communities to promote further research Publishes original research papers tutorials reviews case studies and correspondences from the research development and standardization communities
Peking Mathematical Journal;Peking Mathematical Journal Mathematics general;Peking Mathematical Journal is launched by Peking University It is operated by Beijing International Center for Mathematical Research BICMR and School of Mathematical Sciences SMS of Peking University It aims to publish research papers with broad scope which includes all core topics of pure mathematics All contributions are required to meet high standards of quality and originality
Pelviprinologie;Pelviprinologie MedicinePublic Health general Urology Rehabilitation Medicine Gynecology ObstetricsPerinatologyMidwifery Proctology;
Pensions An International Journal;Pensions An International Journal Finance general;
PerinatalMedizin;PerinatalMedizin Gynecology ObstetricsPerinatologyMidwifery Ultrasound;
Periodica Mathematica Hungarica;Periodica Mathematica Hungarica Mathematics general;Periodica Mathematica Hungarica founded in 1971 is the journal of the Hungarian Mathematical Society Bolyai Society It features papers from most areas of mathematics with a special emphasis on directions having a strong presence in Hungarian mathematics The main profile of the journal is in pure mathematics being open for applied mathematical papers with significant mathematical content Priority among its intentions is to have representatives of young Hungarian mathematicians in the Editorial Board
Perioperative Medicine;Perioperative Medicine Intensive Critical Care Medicine Emergency Medicine Surgery Human Physiology;
Personal and Ubiquitous Computing;Personal and Ubiquitous Computing User Interfaces and Human Computer Interaction Computer Science general Personal Computing Mobile Computing;Personal and Ubiquitous Computing publishes peerreviewed multidisciplinary research on personal and ubiquitous technologies and services The journal provides a global perspective on new developments in research in areas including user experience for advanced digital technologies the Internet of Things big data social technologies and mobile and wearable devices
Perspectives in Drug Discovery and Design;Perspectives in Drug Discovery and Design Pharmacy Biotechnology Animal Anatomy Morphology Histology Biochemistry general Polymer Sciences;
Perspectives on Behavior Science;Perspectives on Behavior Science Psychology general;Perspectives on Behavior Science is an official quarterly publication of the Association for Behavior Analysis International It publishes reviews of theoretical experimental and applied topics in behavior analysis as well as allied behavior sciences Literature reviews reinterpretations of published data and articles on behaviorism as a philosophy are welcome Presents articles on theoretical experimental and applied topics in behavior analysis Also includes literary reviews reinterpretations of published data and articles on behaviorism as a philosophy An official publication of the Association for Behavior Analysis International
Perspectives on Medical Education;Perspectives on Medical Education Medical Education;
Petroleum Chemistry;Petroleum Chemistry Industrial ChemistryChemical Engineering;Petroleum Chemistry is an international peerreviewed journal that publishes original and review articles of theoretical and experimental studies devoted to current problems of petroleum chemistry and processing such as chemical composition of crude oils and natural gas liquids petroleum refining cracking hydrocracking and catalytic reforming catalysts for petrochemical processes hydrogenation isomerization oxidation hydroformylation etc activation and catalytic transformation of hydrocarbons and other components of petroleum natural gas and other complex organic mixtures new petrochemicals including lubricants and additives environmental problems and information on scientific meetings relevant to these areas The journal welcomes manuscripts from all countries PEER REVIEW Petroleum Chemistry is a peer reviewed journal We use a single blind peer review format Our team of reviewers includes over 120 external experts The average period from submission to first decision is 30 days The average rejection rate for submitted manuscripts is 49 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge
Petroleum Geology Experiment;Petroleum Geology Experiment Geology;
Petroleum Science;Petroleum Science Mineral Resources Industrial ChemistryChemical Engineering Industrial and Production Engineering Energy Policy Economics and Management;
Petrology;Petrology Mineralogy Geochemistry;Petrology is an international peerreviewed journal devoted to of magmatic metamorphic and experimental petrology mineralogy and geochemistry The journal offers comprehensive information on all multidisciplinary aspects of theoretical experimental and applied petrology By giving special consideration to studies on the petrography of different regions of the former Soviet Union Petrology provides readers with a unique opportunity to refine their understanding of the geology of the vast territory of the Eurasian continent The journal welcomes manuscripts from all countries PEER REVIEW Petrology is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 30 days The average rejection rate for submitted manuscripts is 40 The final decision on the acceptance of an article for publication is made by the Editorial Board Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Explores magmatic metamorphic and experimental petrology mineralogy and geochemistry Covers all aspects of theoretical experimental and applied petrology Focuses on the petrography of different regions of the former Soviet Union offering unique understanding of Eurasian geology
Pflegezeitschrift;Pflegezeitschrift Nursing Nursing Management Nursing Research Nursing Education Nursing Ethics Geriatric Care;Pflegemanagement Pflegepraxis Pflegepdagogik und Pflegewissenschaft das sind die Kernrubriken der PflegeZeitschrift Jede Ausgabe der PflegeZeitschrift enthlt hochwertige Beitrge renommierter Autoren aus den unterschiedlichsten Bereichen der Gesundheitswirtschaft Best Practice Beispiele sowie Berichte aus der Pflegeforschung zur Frderung der evidenzbasierten Pflege Aktuelle Meldungen Interviews und Hintergrundberichte aus Berufs und Gesundheitspolitik vervollstndigen das Angebot Die PflegeZeitschrift untersttzt den TheoriePraxisTransfer Dafr bndelt sie aktuelles praxisnahes Wissen fr die Kranken Kinderkranken und Altenpflege fr Beruf Fort und Weiterbildung und Studium In der EPaperAusgabe werden die Beitrge mit digitalen Informationen erweitert Und weil die PflegeZeitschrift den lebendigen Dialog in der Pflege frdern will knnen sich die Leserinnen und Leser In den sozialen Netzwerken via Facebook und Instagram austauschen
Pflgers Archiv European Journal of Physiology;Pflgers Archiv European Journal of Physiology Human Physiology Molecular Medicine Neurosciences Cell Biology Receptors;102nd Annual Meeting of the German Physiological Society September 21 23 in Berlin See Journal Updates Pflgers Archiv European Journal of Physiology publishes the results of highquality original research covering the whole range of physiology and pathophysiology It is the official journal of the German Physiological Society Papers should give mechanistic insights into physiological functions at the molecular cellular or organ level The journal welcomes papers linking genomic and proteomic approaches to physiological functions as well as articles describing work on the mechanistic phenotyping of transgenic animal models In addition Pflgers Archiv welcomes papers on methods when these facilitate the further investigation of physiological mechanisms Priority will be given to manuscripts that provide conceptual novelty but also papers reporting negative results of broad interest will be considered Covers the physiological sciences in their broadest sense Includes pathophysiological and methodological issues as relevant to physiological investigation
Pharmaceutical Diagnostic Innovation;Pharmaceutical Diagnostic Innovation Pharmacy;
Pharmaceutical Chemistry Journal;Pharmaceutical Chemistry Journal Pharmacy PharmacologyToxicology Organic Chemistry;More than 40 years in publication through 2007 the monthly Pharmaceutical Chemistry Journal is devoted to scientific and technical research on the creation of new drugs and the improvement of manufacturing technology of drugs and intermediates International contributors cover the entire spectrum of new drug research including methods of synthesis results of pharmacological toxicological and biochemical studies investigation of structure activity relationships in prediction of new compounds methods and technical facilities used and problems associated with the development of ecologically safe and economically feasible methods of industrial production In addition analytical reviews of international literature in the field report on recent developments around the world Pharmaceutical Chemistry Journal is a translation of the peerreviewed Russian journal KhimikoFarmatsevticheskii Zhurnal Presents scientific and technical research on the creation of new drugs and the improvement of manufacturing technology Problems of generics and biosimilars Covers the entire spectrum of new drug research including methods of synthesis results of pharmacological toxicological and biochemical studies Description of the properties and applications of new medicinal products drug delivery and targeting multifunctional nanosystems genomics proteomics and metabolonomics of new phramaceutical agents nanobiotechnology of SiRNA microRNAs antibodies and nanoparticles Application of new physicochemical methods with the goal of uncovering new molecular details of condensed media molecularbased studies of the control of surface chemistry of solid particles in the micrometer and nanometer range Reviews international literature to report on recent developments
Pharmaceutical Development and Regulation;Pharmaceutical Development and Regulation Pharmacy;
