HAND;HAND Surgery Plastic Surgery Orthopedics Surgical Orthopedics;
Health Justice;Health Justice Criminology and Criminal Justice general Public Health Social Policy Community and Environmental Psychology;
Health Care Analysis;Health Care Analysis Public Health Philosophy of Medicine Ethics Health Informatics;Health Care Analysis is a journal that promotes dialogue and debate about conceptual and normative issues related to health and health care including health systems healthcare provision health law public policy and health professional health practice health services organization and decisionmaking and healthrelated education at all levels of clinical medicine public health and global health Health Care Analysis is committed to the view that all aspects of health from the social determinants of health to healthcare delivery to health systems are interrelated and publishes papers that explore links between some of these areas As a journal for everyone interested in philosophical issues in health and health care Health Care Analysis seeks to support the conversation between philosophy and policy in particular illustrating the importance of conceptual and normative analysis to health policy practice and research It publishes contributions from philosophers lawyers social scientists healthcare educators healthcare professionals and administrators and other healthrelated academics and policy analysts A forum for dialogue and debate about the conceptual and normative issues related to health and health care Supports the conversation between philosophy and policy Publishes contributions from philosophers lawyers social scientists healthcare educators healthcare professionals and administrators and other healthrelated academics and policy analysts
Health Care Management Science;Health Care Management Science Operations ResearchDecision Theory Health Administration Health Informatics Management Econometrics Business and Management general;Health Care Management Science publishes papers dealing with health care delivery health care management and health care policy Papers should have a decision focus and make use of quantitative methods including management science operations research analytics machine learning and other emerging areas Applied research will be considered and is of particular interest if there is evidence that it was implemented or informed a decisionmaking process Please see the journal Aims and Scope for detailed editorial objectives Officially cited as Health Care Manag Sci Offers rigorous scientific approaches towards solving problems in health care delivery health care management and health care policy Papers have a strong methodological focus and uses a broad range of advanced quantitative methods Decisionfocused articles should provide answers and insights for clinicians administrators and policy makers Interested in applied work that contributed to an improved decision or process
Health Economics Review;Health Economics Review Public Health Health Economics Public Economics Pharmacoeconomics and Health Outcomes Health Care Management Health Services Research;
Health Information Science and Systems;Health Information Science and Systems Health Informatics Computational BiologyBioinformatics Information Systems and Communication Service Bioinformatics;Health Information Science and Systems is a multidisciplinary journal that integrates computer scienceinformation technology with health science and services embracing information science research coupled with topics related to the modeling design development integration and management of health information systems The scope includes i medicalhealthbiomedicine information resources such as patient medical records devices and equipments software and tools to capture store retrieve process analyze optimize the use of information in the health domain ii data management data mining and knowledge discovery all of which play a key role in decision making management of public health examination of standards privacy and security issues iii development of new architectures and applications for health information systems Multidisciplinary journal integrating computer scienceinformation technology with health science and services Unlimited space for figures extensive datasets and video footage
Health Research Policy and Systems;Health Research Policy and Systems Health Administration R DTechnology Policy MedicinePublic Health general Health Services Research Public Health Health Policy;
Health Services and Outcomes Research Methodology;Health Services and Outcomes Research Methodology Public Health Statistics general Economics general Methodology of the Social Sciences Health Administration;Reflecting the multidisciplinary nature of the field Health Services and Outcomes Research Methodology addresses the needs of interlocking communities methodologists in statistics econometrics social and behavioral sciences designers and analysts of health policy and health services research projects and health care providers and policy makers who need to properly understand and evaluate the results of published research The journal strives to enhance the level of methodologic rigor in health services and outcomes research and contributes to the development of methodologic standards in the field The journal publishes Research papers on quantitative qualitative and mixed methods Case Studies describing applications of quantitative and qualitative methodology in health services and outcomes research Review Articles synthesizing and popularizing methodologic developments Tutorials Articles on computational issues and software reviews Book reviews and Notices Fosters the development of new quantitative qualitative and mixed methods by statisticians econometricians health services researchers and researchers in other fields Offers research papers case studies review articles tutorials book reviews and more Addresses the needs of interlocking communities including methodologists designers and analysts of health policy and health care providers and policy makers
Health Statistics Quarterly;Health Statistics Quarterly Statistics general;
Health Systems;Health Systems Operations ResearchDecision Theory Business and Management general;
Health and Quality of Life Outcomes;Health and Quality of Life Outcomes Quality of Life Research Quality of Life Research;
Health and Technology;Health and Technology Biomedical Engineering and Bioengineering Computational BiologyBioinformatics MedicinePublic Health general Biomedicine general R DTechnology Policy Biological and Medical Physics Biophysics;Health and Technology has just launched the Best Paper Award from 2021 onwards Visit the Journal Updates section for more information Free access to Editors Highlights available from now till 25 Apr 2022 More info under the Journal Updates section Health and Technology is jointly published by Springer and the IUPESM International Union for Physical and Engineering Sciences in Medicine in cooperation with the World Health Organization It is the first truly crossdisciplinary journal on issues related to health technologies addressing all professions relating to health care and health technology The journal constitutes an information platform connecting medical technology and informatics with the needs of care health care professionals and patients Thus medical physicists and biomedicalclinical engineers are encouraged to write articles not only for their colleagues but directed to all other groups of readers as well and vice versa By its nature the journal presents and discusses hot subjects including but not limited to patient safety patient empowerment disease surveillance and management ehealth and issues concerning data security privacy reliability and management data mining and knowledge exchange as well as health prevention The journal also addresses the medical financial social educational and safety aspects of health technologies as well as health technology assessment and management including issues such security efficacy cost in comparison to the benefit as well as social legal and ethical implications This journal is a communicative source for the health work force physicians nurses medical physicists clinical engineers biomedical engineers hospital engineers etc the ministries of health hospital management selfemployed doctors health care providers and regulatory agencies the medical technology industry patients associations universities biomedical and clinical engineering medical physics medical informatics biology medicine and public health as well as health economics programs research institutes and professional scientific and technical organizations First truly crossdisciplinary journal for the professional groups involved into health technologies Medical and scientific research professionals write articles not only for their colleagues but directed to all other groups of readers as well and vice versa Official Journal of the IUPSEM International Union for Physical and Engineering Sciences in Medicine Follows doubleblind reviewing procedure
Heart Failure Reviews;Heart Failure Reviews Cardiology;Heart Failure Reviews is an international journal which develops links between basic scientists and clinical investigators creating a unique interdisciplinary dialogue focused on heart failure its pathogenesis and treatment The journal accordingly publishes papers in both basic and clinical research fields Topics covered include clinical and surgical approaches to therapy basic pharmacology biochemistry molecular biology pathology and electrophysiology The reviews are comprehensive expanding the readers knowledge base and awareness of current research and new findings in this rapidly growing field of cardiovascular medicine All reviews are thoroughly peerreviewed before publication
Heart and Vessels;Heart and Vessels Cardiology Cardiac Surgery Vascular Surgery Biomedical Engineering and Bioengineering;Heart and Vessels is an Englishlanguage journal that provides a forum of original ideas excellent methods and fascinating techniques on cardiovascular disease fields All papers submitted for publication are evaluated only with regard to scientific quality and relevance to the heart and vesselsContributions from those engaged in practical medicine as well as from those involved in basic research are welcomed
Heat and Mass Transfer;Heat and Mass Transfer Engineering Thermodynamics Heat and Mass Transfer Industrial ChemistryChemical Engineering Thermodynamics;This journal is dedicated to publishing new developments in the field of basic research of heat and mass transfer phenomena as well as related material properties and their measurements thereby promoting applications to engineering problems Formerly titled Wrme und Stoffbertragung the journal has been publishing under the title Heat and Mass Transfer since 1995 Covers the complete discipline of heat and mass transfer in relation to engineering thermodynamics and fluid mechanics Publishes results from basic research as well as engineering applications such as heat exchangers process and chemical engineering Covers experimental techniques as well as analytical and computational approaches According to a July 2019 survey 92 of authors reported they would definitely publish or likely publish in the journal again
Hebammen Wissen;Hebammen Wissen ObstetricsPerinatologyMidwifery Nursing Pediatrics Gynecology Maternal and Child Health Complementary Alternative Medicine;HebammenWissen die neue Fachzeitschrift aus dem Springer Medizin Verlag liefert Hebammen aktuelles und fundiertes Wissen rund um Praxis und Beruf In HebammenWissen verknpfen renommierte Autoren und Autorinnen in ihren Fachbeitrgen medizinisches Hintergrundwissen mit der heilkundlichen Expertise des Hebammenwesens und untersttzen so den TheoriePraxisTransfer auf besondere Weise Das Themenspektrum reicht vonder professionellen und evidenzbasierten Schwangerenvor und nachsorge berGeburt undWochenbettKrankheitsbilder bei Mutter und Kind Suglingspflege Informationen zu Babys erstem Lebensjahr bis zu Tipps fr Fort und Weiterbildung Beruf und Studium Aktuelle Meldungen Interviews Hintergrundberichte und Reportagen vervollstndigen das Angebot fr alle Hebammen
Heilberufe;Heilberufe Nursing Nursing Management Geriatric Care Nursing Education Nursing Ethics;Nach dem Motto Pflege einfach machen wendet sich die Heilberufe das berufsbegleitende Fachmagazin an stationr und ambulant ttige Krankenpflegekrfte aber auch an Altenpflegerinnen Auszubildende Studenten Lehrende und leitende Pflegekrfte im stationren und ambulanten Bereich Heilberufe vernetzt die verschiedenen Fachdisziplinen von der Gesundheits und Kinderkrankenpflege ber die Krankenpflege bis zur Altenpflege in Kliniken Pflegeheimen und in der ambulanten Versorgung Die Pflegezeitschrift fr das Pflegemanagement das wissenschaftliche Online Journal HeilberufeSCIENCE ein umfangreicher Internetauftritt wwwspringerpflegede und PflegeFachkongresse ergnzen das Verlagsangebot fr die professionelle Pflege Heilberufe ist die offizielle Zeitschrift fr Mitglieder des Deutschen Pflegeverbandes DPV sowie fr Mitglieder des AnbieterVerband qualittsorientierter Gesundheitspflegeinrichtungen AVG Die Heilberufe ist das offizielle Organ des Bundesverband Lehrende Gesundheits und Sozialberufe eV BLGS
HeilberufeScience;HeilberufeScience Nursing Nursing Management Nursing Research;HeilberufeSCIENCE ist das wissenschaftliche OnlineJournal fr den gesamten deutschsprachigen Raum von Springer Medizin hervorgegangen aus der Zeitschrift Heilberufe Das Pflegemagazin Es wendet sich an alle wissenschaftlichen Institutionen sowie an alle interessierten Personen und Einrichtungen aus den Gebieten Pflegemanagement Pflegepdagogik Pflegewissenschaften Public Health Gerontologie und Altenhilfe unter Einbeziehung der stationren und ambulanten Pflege Vierteljhrlich werden Originalarbeiten bersichten Wissenschaftliche Kurzmitteilungen sowie Fachkorrespondenz verffentlicht Im Zusammenhang mit den HeilberufeKongressen in Hamburg und Berlin erscheinen regelmig Sonderausgaben mit ausgewhlten Abstracts der Vortrge Workshops und Poster Ziel ist die Frderung des wissenschaftlichen Austauschs auf den genannten Gebieten und die Professionalisierung der pflegerischen Disziplinen In Verknpfung mit den Springer MedizinZeitschriften Heilberufe und PROCARE bietet HeilberufeSCIENCE eine einzigartige Mglichkeit zur Frderung des TheoriePraxisTransfers Bei HeilberufeSCIENCE eingereichte Originalartikel werden peer reviewed Fr Pilotprojekte oder Berichte ber kleinere Projekte steht die Rubrik der Wissenschaftlichen Kurzmitteilungen zur Verfgung Sie soll insbesondere Nachwuchsforschern beziehungsweise Einrichtungen aus der Praxis die Vorstellung der eigenen wissenschaftlichen Arbeiten in kurzer und kompakter Form ermglichen HeilberufeSCIENCE wurde 2013 fr den Literaturindex CINAHL der weltweit grten Datenbank fr Pflege und anverwandte Gesundheitswissenschaften akzeptiert
Helgoland Marine Research;Helgoland Marine Research Ecology Freshwater Marine Ecology Microbiology Plant Sciences Zoology Waste Water Technology Water Pollution Control Water Management Aquatic Pollution;
Hellenic Journal of Surgery;Hellenic Journal of Surgery Surgery;Hellenic Journal of Surgery is now archived and no longer receiving submissions with this publisher All articles published in the journal during its time with Springer will remain fully searchable through our websites Looking for other Springer journals Please have a look at our journal list
Helminthologia;Helminthologia Biomedicine general Life Sciences general Zoology Ecology Medical Microbiology Microbiology;
Hematology and Cell Therapy;Hematology and Cell Therapy Hematology;
Hepatology International;Hepatology International Hepatology Colorectal Surgery Surgery;Hepatology International is a peerreviewed journal featuring articles written by clinicians clinical researchers and basic scientists is dedicated to research and patient care issues in hepatology This journal focuses mainly on new and emerging diagnostic and treatment options protocols and molecular and cellular basis of disease pathogenesis new technologies in liver and biliary sciences Hepatology International publishes original research articles related to clinical care and basic research review articles consensus guidelines for diagnosis and treatment invited editorials and controversies in contemporary issues The journal does not publish case reports Hepatology International requests that all authors comply to Springers ethical policies These ethical statements should be clearly indicated on all articles for all 3 ethics statements and for all authors mentioned by name These statements should be placed at the end of each article just before the Reference section To visit our ethics statements please visit the following links Conflict of Interest and Ethical Standards httpwwwspringercomauthorsSGWID011167915310 Informed Consent httpwwwspringercomauthorsSGWID011166082090 Statement of Human and Animal Rights httpwwwspringercomauthorsSGWID011166083090 Hepatology International is the official journal of the Asian Pacific Association for the Study of the Liver APASL Now indexed by ISI A peerreviewed journal with global reach and championed and edited by international experts in the field Focuses on the complete spectrum of contemporary clinical and basic science related issues in the field of adult and pediatric hepatobiliary and allied sciences new and emerging technologies cuttingedge innovations and future trends in liver and biliary disorders Publishes original research articles editorials reviews consensus guidelines for diagnosis and treatment of liver diseases
Hepatology Medicine and Policy;Hepatology Medicine and Policy MedicinePublic Health general Hepatology Infectious Diseases Virology Public Health;
Herald of the Russian Academy of Sciences;Herald of the Russian Academy of Sciences Environment general Earth Sciences general ChemistryFood Science general Life Sciences general Engineering general Social Sciences general;Herald of the Russian Academy of Sciences is an international peerreviewed multidisciplinary journal It publishes original works surveys speeches and discussions and presents various viewpoints on important subjects related to all fields of science The journal addresses the questions of scientists role in society and the role of scientific knowledge in the modern world The journal welcomes manuscripts from all countries PEER REVIEW Herald of the Russian Academy of Sciences is a peer reviewed journal We use a double blind peer review format The average period from submission to first decision is 10 days The average rejection rate for submitted manuscripts is 50 The final decision on the acceptance of an article for publication is made by the EditorinChief Any invited reviewer who feels unqualified or unable to review the manuscript due to the conflict of interests should promptly notify the editors and decline the invitation Reviewers should formulate their statements clearly in a sound and reasoned way so that authors can use reviewers arguments to improve the manuscript Personal criticism of the authors must be avoided Reviewers should indicate in a review i any relevant published work that has not been cited by the authors ii anything that has been reported in previous publications and not given appropriate reference or citation ii any substantial similarity or overlap with any other manuscript published or unpublished of which they have personal knowledge Offers major works speeches and discussions presented to the Academy by eminent Russian and foreign scientists Addresses the scientists role in society and the role of scientific knowledge in the modern world Reports the work of the Presidium of the Academy results of research groups awards prizes and nominations
Hereditary Cancer in Clinical Practice;Hereditary Cancer in Clinical Practice Cancer Research Oncology Human Genetics;
Hereditas;Hereditas Animal Genetics and Genomics Evolutionary Biology;
Heritage Science;Heritage Science Materials Science general;
Hernia;Hernia Abdominal Surgery;Hernia was founded in 1997 by Jean P Chevrel with the purpose of promoting clinical studies and basic research as they apply to groin hernias and the abdominal wall Since that time a true revolution in the field of hernia studies has transformed the field from a simple disease to one that is very specialized While the majority of surgeries for primary inguinal and abdominal wall hernia are performed in hospitals worldwide complex situations such as multi recurrences complications abdominal wall reconstructions and others are being studied and treated in specialist centers As a result major institutions and societies are creating specific parameters and criteria to better address the complexities of hernia surgery Hernia is a journal written by surgeons who have made abdominal wall surgery their specific field of interest but we will consider publishing content from any surgeon who wishes to improve the science of this field The Journal aims to ensure that hernia surgery is safer and easier for surgeons as well as patients and provides a forum to all surgeons in the exchange of new ideas results and important research that is the basis of professional activity Hernia is a rigorously peer reviewed journal that regularly publishes specific topical issues and collections in addition to original articles and is affiliated with the European Hernia Society EHS with the AsiaPacific Hernia Society APHS and the American Hernia Society AHS Advances clinical studies and basic research applied to groin hernias internal hernias the abdominal wall the diaphragm and the perineum Written by surgeons for surgeons and other medical professionals 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Herpesviridae;Herpesviridae Virology Infectious Diseases;
Herz;Herz Cardiology Internal Medicine;Herz is the highlevel journal for further education for all physicians interested in cardiology The individual issues of the journal each deal with specific topics and comprise review articles in English and German written by competent and esteemed authors They provide uptodate and comprehensive information concerning the speciality dealt with in the issue Due to the fact that all relevant aspects of the pertinent topic of an issue are considered an overview of the current status and progress in cardiology is presented Reviews and original articles round off the spectrum of information provided Review All articles of Herz are reviewed Declaration of Helsinki All manuscripts submitted for publication presenting results from studies on probands or patients must comply with the Declaration of Helsinki
Herzschrittmachertherapie Elektrophysiologie;Herzschrittmachertherapie Elektrophysiologie Cardiology Cardiac Imaging Cardiac Surgery;Mit wissenschaftlichen Original und bersichtsarbeiten aus den Bereichen der klinischen und experimentellen Forschung ist die Zeitschrift Herzschrittmachertherapie Elektrophysiologie ein Diskussionsforum fr rhythmologische Themen wie Theoretische Elektrophysiologie Klinische Elektrophysiologie Mapping und Ablation Bradykarde und tachykarde Herzrhythmusstrungen Synkope Diagnostik und Therapie von Vorhofflimmern Pltzlicher Herztod und Risikostratifikation DeviceTherapie Herzschrittmacher implantierbarer CardioverterDefibrillator DeviceTherapie der Herzinsuffizienz z B kardiale Resynchronisationstherapie Elektrokardiographie EKGMonitoring inkl implantierbare LoopRekorder Elektromedizinische Technologie Experimentelle und klinische Pharmakologie Genetische Hintergrnde von Herzrhythmusstrungen Herzchirurgie bei Herzrhythmusstrungen Mitteilungen der Arbeitsgruppe Elektrophysiologie und Rhythmologie AGEP der Deutschen Gesellschaft fr Kardiologie Herz und Kreislaufforschung eV DGK und der Young EP sowie Stellungnahmen und praktische Hinweise runden das breite Spektrum dieser Zeitschrift ab Interessensgebiete Kardiologie Herzschrittmachertherapie Herzschrittmachertechnologie klinische Elektrophysiologie Organ der Deutschen Gesellschaft fr Kardiologie Herz und Kreislaufforschung eV der Arbeitsgruppe Rhythmologie und der European Heart Rhythm Association Berichte ber moderne Operationstechniken und experimentelle Methoden Themenhefte international anerkannter Experten zu aktuellen Aspekten
High Blood Pressure Cardiovascular Prevention;High Blood Pressure Cardiovascular Prevention Cardiology Pharmacotherapy;Aimed at offering an open and dynamic forum for discussing current topics not only in hypertension but also in cardiovascular disease prevention High Blood Pressure Cardiovascular Prevention focuses on Invited stateoftheart reviews Expert commentaries on guidelines randomized clinical trials and clinical and experimental studies on hypertension and cardiovascular disease prevention Statements on guidelines for hypertension and cardiovascular disease prevention Socioeconomic issues Monitoring of healthcare systems Original scientific contributions Proceedings of scientific meetings Consensus documents and expert opinions on cardiovascular disease management and control
