CABI Agriculture and Bioscience;CABI Agriculture and Bioscience Agriculture;
COPD Research and Practice;COPD Research and Practice PneumologyRespiratory System;
CSI Transactions on ICT;CSI Transactions on ICT Software EngineeringProgramming and Operating Systems Systems and Data Security Computer Communication Networks InputOutput and Data Communications Computer Science general;The journal CSI Transactions on ICT focuses on the practical implications of advances in information and communication technology and associated management issues The journal serves domain experts in education healthcare management and agriculture who are working to utilize the vast potential of ICT in their respective fields and thereby bridge the digital divide Coverage spans a range of topic areas including Systems and Architecture Software Design and Performance Cyber and Information Security Education Health and Agriculture Economics Practice and Management and Computing and Computational Science The journal is a publication of the Computer Society of India in keeping with CSIs mission of ICT for Masses Examines implications of advances in information and communication technology and associated management issues Serves domain experts in education healthcare management and agriculture working to utilize the potential of ICT in their respective fields A publication of the Computer Society of India
CVIR Endovascular;CVIR Endovascular MedicinePublic Health general Imaging Radiology Interventional Radiology;
Calcified Tissue International;Calcified Tissue International Biochemistry general Endocrinology Orthopedics Cell Biology;Calcified Tissue International was founded in 1967 under the name Calcified Tissue Research Vols 119 were edited by BEC Nordin FGE Pautard D B Scott BA Friedman Vols 2022 by BEC Nordin FGE Pautard BA Friedman L Klein Vols 2324 by WD Armstrong Beginning with Vol 27 in 1979 the journal was renamed Calcified Tissue International and was edited by L V Avioli until 1999 Vols 6675 were then coedited by Drs R Civitelli KA Hruska and S Ralston Vols 7692 were coedited by Drs R Civitelli and SH Ralston Since Vol 93 the journal which was renamed Calcified Tissue International and Musculoskeletal Research has been coedited by Drs SH Ralston and R Rizzoli The Journal serves as a forum to explore the biochemical biophysical molecular and genetic determinants of the structure function and metabolism of bone and other musculoskeletal tissues in living organisms It publishes preclinical and translational research on these topics as well as clinical research in humans of relevance to gaining greater understanding of the pathogenesis and treatment of bone disease and other diseases of the musculoskeletal system including musculoskeletal interactions Publishes original research and reviews concerning the structure and function of bone and other musculoskeletal tissues in living organisms Includes studies of cell biology molecular biology intracellular signalling and physiology as well as research into the hormones cytokines and other mediators that influence function of the musculoskeletal system Publishes clinical studies of relevance to the pathogenesis and treatment of bone and joint disease muscle function mineral metabolism and musculoskeletal interactions
Calcolo;Calcolo Numerical Analysis Theory of Computation;Under the direction of the Institute for Informatics and Telematics in Pisa Calcolo publishes original contributions on numerical analysis and its applications and on the theory of computation The main focus of the journal is on numerical linear algebra approximation theory and its applications numerical solutions of differential and integral equations computational complexity algorithmics mathematical aspects of computer science and optimization theory Calcolo contains expository papers which introduce emerging topics as well as a abstracts of PhD theses news and reports from conferences and book reviews Under the direction of the Institute for Informatics and Telematics in Pisa Publishes original contributions on numerical analysis and its applications and on the theory of computation Contains expository papers which introduce emerging topics as well as a Report section with abstracts of PhD theses news and reports from conferences and book reviews
Calculus of Variations and Partial Differential Equations;Calculus of Variations and Partial Differential Equations Analysis Systems Theory Control Calculus of Variations and Optimal Control Optimization Theoretical Mathematical and Computational Physics;Calculus of Variations and Partial Differential Equations attracts and collects many of the important topquality contributions to this field of research and stresses the interactions between analysts geometers and physicists Coverage in the journal includes Minimization problems for variational integrals existence and regularity theory for minimizers and critical points geometric measure theory Variational methods for partial differential equations linear and nonlinear eigenvalue problems bifurcation theory Variational problems in differential and complex geometry Variational methods in global analysis and topology Dynamical systems symplectic geometry periodic solutions of Hamiltonian systems Variational methods in mathematical physics nonlinear elasticity crystals asymptotic variational problems homogenization capillarity phenomena free boundary problems and phase transitions MongeAmpre equations and other fully nonlinear partial differential equations related to problems in differential geometry complex geometry and physics Attracts and collects many of the important topquality contributions to this field of research Stresses the interactions between analysts geometers and physicists 92 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Call Center Profi;Call Center Profi Business and Management general;
CallCenter INTERNATIONAL;CallCenter INTERNATIONAL Business and Management general;
Cambridge Journal of EvidenceBased Policing;Cambridge Journal of EvidenceBased Policing Criminology and Criminal Justice general Public Policy Methodology of the Social Sciences;This journal furthers empirical research on EvidenceBased Policing the systematic practice of applying research to decisionmaking in policing The contents include original research and review articles in three main areas Targeting Identifying priorities for resources based on concentrations of crime including time day season area persons situations and types of crime Testing Examining police practices through randomized controlled trials systematic review algorithmic forecasting metaanalyses and other methods and Tracking Studying police actions in relation to measured outcomes for police objectives to evaluate their effectiveness Provides empirical research on evidencebased decisionmaking in policing Examines both research that can be applied to policing and how to apply it Welcomes original research and review articles
Canadian Journal of AnesthesiaJournal canadien danesthsie;Canadian Journal of AnesthesiaJournal canadien danesthsie Anesthesiology Pain Medicine Intensive Critical Care Medicine PneumologyRespiratory System Cardiology Pediatrics;About the Canadian Journal of Anesthesia MISSION STATEMENT Excellence in research and knowledge translation in anesthesia pain perioperative medicine and critical care Overview The Canadian Journal of Anesthesia the Journal is owned by the Canadian Anesthesiologists Society and is published by Springer Nature Switzerland AG From the first year of publication in 1954 the international exposure of the Journal has broadened considerably with articles now received from over 50 countries The Journal is published monthly and has an impact Factor mean journal citation frequency of 6713 in 2021 Article types consist of invited editorials reports of original investigations clinical and basic sciences articles case reportscase series review articles systematic reviews accredited continuing professional development CPD modules and Letters to the Editor The editorial content according to the mission statement spans the fields of anesthesia acute and chronic pain perioperative medicine and critical care In addition the Journal publishes practice guidelines and standards articles relevant to clinicians Articles are published either in English or in French according to the language of submission Focus on Faster Editorial Peer Review and Rapid Publication The editorial peer review system is overseen by five editors The Journal has an outstanding editorial board team of Canadian and international experts Authors submitting articles to the Journal expect high quality reviews and rapid turnaround times The average time from submission to first decision review lag time is less than three weeks The time from submission to final acceptance of published articles usually requires 6 12 weeks An important enhancement for the Journal has been the new capacity to publish each article online within 4 6 weeks after acceptance of the final version and up to 8 weeks ahead of the printed version publication lag time The Online Firstsystem offers an accelerated publishing track on SpringerLink where the Journal is hosted online Updates to the Online Journal Readers have access to online articles published in both Portable Document Format PDF and HyperText Markup Language HTML formats The electronic versions of related metadata which include different forms of supplementary material related to each article are now sent automatically to all relevant bibliographic organizations on the day of the online publication A redesign of SpringerLink has enhanced the online Journal with functionalities and innovative new features such as semantic analysis of documents and look inside preview capability to allow readers to view and browse the content of any document without having to download it first We are now able to publish more color images simulations and additional electronic supplementary material ESM to be posted online for dynamic article types such as the new Perioperative Hemodynamic Rounds section Ethical Considerations The Journal is a member of the Committee on Publications Ethics COPE Code of Conduct for Editors of Biomedical Journals and adheres to COPEs Good Publication Practice see httppublicationethicsorg We use the CrossCheck program httpcrosscheckithenticatecom to identify plagiarism for every article submitted to the Journal CrossCheck compares the manuscript text to both published manuscripts and text downloaded from websites Manuscripts that plagiarize previously published material even if it is the authors own work will be rejected if identified during peer review and will be retracted if the plagiarism is discovered after publication Instructions for Authors As Instructions for Authors become increasingly harmonized to make it easier for authors submitting to different journals the CJA Instructions have been modified and updated in various sections under the permission provisions of the International Committee of Medical Journal Editors ICMJE stating the Uniform Requirements for Manuscripts Submitted to Biomedical Journals Writing and Editing for Biomedical Publication posted at httpwwwicmjeorg We encourage authors to carefully review the CJA Instructions for Authors prior to manuscript preparation and at the time of article submission as requirements change periodically as well as the standardized reporting guidelines endorsed by the Journal We strongly encourage authors to refer to the EQUATOR network httpwwwequatornetworkorg which provides a host of valuable resources for authors Manuscript Submission Manuscripts are submitted to the Canadian Journal of Anesthesia online via Editorial Managerhttpwwweditorialmanagercomcaan This system allows for quick and efficient processing of your manuscript Please log directly onto the Editorial Manager site and upload your manuscript files following the instructions provided on the screen Please ensure that you also upload the completed relevant standardized reporting checklist CONSORT STROBE PRISMA Please note If you have already registered on Editorial Manager please use your provided username and password and log in as Author to track your manuscript or to submit a NEW manuscript Do not register again as you will then be unable to track your manuscript Otherwise if you are a new author please click the Register button and enter the requested information Upon successful registration you will be sent an email with instructions to verify your registration Keep copies of your wordprocessing and figure files You may want to revise the manuscript during the review process and you will need the original files if your manuscript requires revisions If you have questions or if you are unable to submit your manuscript via Editorial Manager please contact us at the editorial office either via email cjaofficecasca or by phone 4504777607 Stephan K W Schwarz MD PhD EditorinChief Canadian Journal of Anesthesia Department of Anesthesiology Pharmacology Therapeutics The University of British Columbia 2176 Health Sciences Mall Vancouver BC Canada V6T 1Z3 Phone 450 4777607 Email cjaofficecasca Web site wwwspringercom12630 propos du Journal canadien danesthsie NONC DE SA MISSION Lexcellence en recherche et en transfert des connaissances en anesthsie en douleur en mdecine priopratoire et en soins critiques Vue densemble Le Journal canadien danesthsie le Journal appartient la Socit canadienne des anesthesiologists et est publi par Springer Science Business Media LLM NEWYORK Depuis sa premire anne de publication en 1954 la visibilit internationale du Journal sest considrablement largie avec des articles qui proviennent maintenant de plus de 50 pays Le Journal est publi chaque mois et son facteur dimpact frquence moyenne de citations du journal tait de 6713 en 2021 Les articles types incluent des ditoriaux sur invitation des comptes rendus de recherches originales articles cliniques et articles de sciences fondamentales rapports de cas et sries de cas articles de synthse syntheses systmatiques modules de dveloppement professionnel continu DPC accrdits et les lettres lditeur Conformment lnonc de sa mission le contenu ditorial couvre les domaines de lanesthsie de la douleur aigu et chronique des soins priopratoires et des soins intensifs De plus le Journal publie des directives de pratique clinique et des articles sur des normes de references pertinentes pour les cliniciens Les articles sont publis en anglais ou en franais selon la langue dans laquelle ils ont t soumis au Journal Priorit une valuation par les pairs et une publication plus rapides Le systme dvaluation par les pairs est supervis par cinq rdacteurs Le Journal dispose dune remarquable quipe pour son Comit ditorial constitu dexperts canadiens et internationaux Les auteurs envoyant des articles au Journal esprent des valuations de grande qualit et des dlais de traitement courts Le temps moyen coul entre la soumission et la premire dcision dlai dvaluation est infrieur trois semaines Le temps coul entre la soumission et lacceptation dfinitive des articles publis se situe habituellement entre 6 12 semaines Une importante amlioration pour le Journal a t sa capacit publier en ligne chaque nouvel article dans un dlai de 4 6 semaines aprs lacceptation de la version finale et jusqu 8 semaines davance par rapport la version imprime dlai de publication Le systme Online First offre une voie de publication acclre sur SpringerLink o le Journal est hberg sur Internet Mises jour du Journal en ligne Les lecteurs ont accs aux articles publis en ligne la fois en format PDF Portable Document Format et en format HTML HyperText Markup Language Les versions lectroniques des mtadonnes lies incluant diffrentes formes de documents supplmentaires en rapport avec chaque article sont maintenant envoyes automatiquement tous les organismes de bibliographie pertinents le jour mme de la publication en ligne Le nouveau design du site SpringerLink a amlior le Journal en ligne avec des fonctionnalits et de nouvelles capacities innovantes comme lanalyse smantique des documents et laffichage daperus permettant aux lecteurs de voir le contenu et de naviguer dans nimporte quel document sans avoir le tlcharger pralablement Nous sommes maintenant en mesure de publier en ligne advantage dimages en couleur de simulations et de documents lectroniques supplmentaires pour des articles de type dynamique comme ceux de la nouvelle section des Vignettes sur lhmodynamie priopratoire Questions thiques Le Journal est membre du comit du Code de conduite pour lthique des publications COPE destin aux rdacteurs des revues biomdicales et adhre aux Bonnes pratiques de publication du COPE voir httppublicationethicsorg Nous utilisons le programme CrossCheckhttpcrosscheckithenticatecom pour identifier les plagiats et lappliquons chaque article envoy au Journal CrossCheck compare le texte du manuscrit aux manuscrits publis et aux textes tlchargs partir de sites web Les manuscrits qui sont des plagiats de travaux dj publis mme lorsquil sagit du travail de lauteur luimme seront rejets sils sont identifies pendant lvaluation par les pairs et seront retirs si le plagiat est dcouvert aprs publication Directives aux auteurs Considrant que les Directives aux auteurs sont chaque jour davantage harmonises pour faciliter le travail de soumission des articles aux diffrentes revues plusieurs sections des Directives du JCA ont t modifies et mises jour selon les clauses de permission du Comit international des rdacteurs de journaux mdicaux ICMJE nonant les Exigences uniformes pour les manuscrits prsents aux journaux biomdicaux rdaction et dition pour les publications biomdicales publies en anglais ladresse httpwwwicmjeorg Nous encourageons les auteurs tudier soigneusement dune part les Directives aux auteurs du JCA avant la prparation du manuscrit ainsi quau moment de la soumission car les exigences changent priodiquement tout comme les directives standardises de rapports avalises par le Journal Nous encourageons vivement les auteurs consulter le rseau EQUATOR httpwwwequatornetworkorg qui fournit une grande quantit de ressources utilies aux auteurs Soumission du manuscrit Les manuscrits sont soumis en ligne au Journal canadien danesthsie laide du systme Editorial Manager httpwwweditorialmanagercomcaan Ce systme permet un traitement rapide et efficace de votre manuscrit Veuillez vous connecter directement au site Editorial Manager et tlcharger les fichiers de votre manuscrit en suivant les instructions apparaissant lcran Veuillez vous assurer que vous tlchargez la liste de contrle standardise des informations fournir CONSORT STROBE PRISMA Veuillez noter Si vous tes dj inscrite sur Editorial Manager utilisez votre nom dutilisateur et votre mot de passe pour vous connecter en tant qu Auteur afin de suivre votre manuscrit ou soumettre un NOUVEAU manuscrit Ne vous inscrivez pas une nouvelle fois car vous series incapable de suivre votre manuscrit Si vous tes un nouvel auteur veuillez cliquer sur le bouton Inscription et saisir les renseignements demands Une fois linscription russie vous recevrez un courriel qui contiendra des instructions pour vrifier votre inscription Gardez des copies de vos fichiers textes et de vos figures Vous pourriez souhaiter rviser le manuscript pendant le processus de rvision et vous aurez besoin de vos fichiers originaux si votre manuscript a besoin de rvisions Si vous avez des questions ou si vous ntes pas en mesure de soumettre votre manuscrit par Editorial Manager veuillez communiquer avec nous au bureau ditorial par courriel cjaofficecasca ou par tlphone 4504777607 Stephan K W Schwarz MD PhD Rdacteur en chef Journal canadien danesthsie Department of Anesthesiology Pharmacology Therapeutics The University of British Columbia 2176 Health Sciences Mall Vancouver BC Canada V6T 1Z3 Tlphone 450 4777607 Courriel cjaofficecasca Site web wwwspringercom12630 Why publish with us We are a peerreviewed journal dedicated to excellence in research and knowledge translation in anesthesia pain perioperative medicine and critical care Led by outstanding Canadian and International associate editors and editorial board members our committed editorial team oversees a rigorous yet swift review process We publish the latest advances in anesthesia including highprofile clinical research basic research with an impact apparent to clinicians and expert reviews and opinions to assist anesthesiologists in the field We provide a clear and supportive publication process and ensure high visibility for your publication through our dedicated social media accounts We provide high levels of author satisfaction with 92 of our published authors reporting that they would definitely or probably publish with us again
Canadian Journal of Emergency Medicine;Canadian Journal of Emergency Medicine Emergency Medicine Public Health;NEW WITH SPRINGER STARTING FROM JANUARY 2021 Previous volumes and issues can be found at httpscaepcacjembackfiles Since 1999 the Canadian Journal of Emergency Medicine is the publication platform for the communication and exchange of current work and ideas inspiring excellence in emergency medical care it is an essential resource for emergency physicians in rural urban or academic settings that reflect the growing interest in emergency medicine both as a medical discipline and an expanding field for research It is one of the top journals in its field and is the respected official journal of the Canadian Association of Emergency Physicians Canadas unique academic journal in Emergency Medicine and the official publication of the Canadian Association of Emergency Physicians By providing a forum for research in Emergency Medicine we connect emergency physicians and ensure that your article can be easily discovered accessed understood used and shared and act as a springboard for further discovery As a leading journal in Emergency Medicine education we aim to build longterm relationships with researchers providing expert guidance training and support
Canadian Journal of Kidney Health and Disease;Canadian Journal of Kidney Health and Disease Nephrology;
Canadian Journal of Public Health;Canadian Journal of Public Health Public Health;This journal aims to advance public health research and practice in Canada and around the world contributing to the improvement of the health of populations and the reduction of health inequalities The independent journal publishes peerreviewed original research and scholarly articles submitted in either English or French that are relevant to population and public health An official publication of the Canadian Public Health Association Le but de cette revue est de faire progresser la recherche et les pratiques de sant publique au Canada et dans le monde contribuant ainsi lamlioration de la sant des populations et la rduction des ingalits de sant La revue indpendante avec comit de lecture publie des articles savants et des travaux indits soumis en anglais ou en franais qui sont dintrt pour la sant publique et des populations Une publication officielle de lAssociation canadienne de sant publique Advances public health research and practice in Canada and worldwide Publishes original research and scholarly articles relevant to population and public health Official publication of the Canadian Public Health Association Fait progresser la recherche et les pratiques de sant publique au Canada et dans le monde Publie des articles savants et des travaux indits qui sont dintrt pour la sant publique et des populations Publication officielle de lAssociation canadienne de sant publique
Canadian Journal of Science Mathematics and Technology Education;Canadian Journal of Science Mathematics and Technology Education Science Education EngineeringTechnology Education Mathematics Education;The Canadian Journal of Science Mathematics and Technology Education is one of the leading international journals in the field of science mathematics and technology education Now entering its 20 th year of publication the journal offers high quality peer reviewed articles covering a variety of topics in the field of STEM education including indigenous education environmental education activism nature of science research competencies mathematical giftedness informal education citizenship education and engineering education The journal is listed in the Web of Science and welcomes contributions in a variety of styles including research investigations and reviews of the literature General correspondence should be addressed to the Editorial AssistantPour la correspondance dordre generals adresser au directeur adjoint Ontario Institute for Studies in Education of the University of TorontoInstitut detudes pedagogiques de lOntario de lUniversit de Toronto 252 Bloor Street West Toronto ON M5S 1V6 Canada Emailcourriel cjsmteutorontoca Follow CJSMTE on Twitter at httpstwittercomcjsmte One of the leading international journals in STEM education In its 20 th year of publication Offers coverage of STEM education practices in Canada and internationally Publishes original research in a variety of styles Published in both English and French High quality and peer reviewed Listed in the Web of Science Emerging Sources Index
Canadian Studies in Population;Canadian Studies in Population Demography Population Economics Statistics for Social Sciences Humanities Law;Canadian Studies in Population is an established international forum for research on population processes in Canada and around the world Emphasis is placed on cuttingedge research relevant to demography and other populationrelated fields including economics geography sociology health sciences public policy and environmental sciences The journal publishes original research articles and brief research notes that make an empirical theoretical or methodological contribution Since its founding in 1974 Canadian Studies in Population has been the official journal of the Canadian Population Society CPS and the leading journal on population studies in Canada promoting dialogue between Canadian researchers statistical agencies and policymakers Official journal of the Canadian Population Society CPS Presents cuttingedge research relevant to demography and other populationrelated fields International forum for research on population processes in Canada and around the world
Cancer Metabolism;Cancer Metabolism Cancer Research Oncology Metabolomics Metabolic Diseases Imaging Radiology Cell Biology;
Cancer Causes Control;Cancer Causes Control Cancer Research Biomedicine general Oncology Public Health Epidemiology Hematology;Cancer Causes Control is an international refereed journal that both reports and stimulates new avenues of investigation into the causes control and subsequent prevention of cancer Its multidisciplinary and multinational approach draws together information published in a diverse range of journals Coverage extends to variation in cancer distribution within and between populations factors associated with cancer risk preventive and therapeutic interventions on a population scale economic demographic and healthpolicy implications of cancer and related methodological issues Cancer Causes Control publishes original articles reviews short communications commentaries opinions and letters to the editor which have direct relevance to researchers and practitioners working in epidemiology medical statistics cancer biology health education medical economics and related fields The journal also provides significant information for government agencies concerned with cancer research control and policy Both reports and stimulates new avenues of investigation into the causes control and subsequent prevention of cancer Draws together information published in a diverse range of journals Provides significant information for government agencies concerned with cancer research control and policy 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Cancer Cell International;Cancer Cell International Cancer Research Cell Biology;
Cancer Chemotherapy and Pharmacology;Cancer Chemotherapy and Pharmacology Oncology PharmacologyToxicology Cancer Research;Cancer Chemotherapy and Pharmacology addresses a wide range of pharmacologic and oncologic concerns on both experimental and clinical levels The primary focus of this rapid publication medium is on new anticancer agents their experimental screening preclinical toxicology and pharmacology single and combined drug administration modalities and clinical phase I II and III trials The journal publishes results recorded in the following areas clinical toxicology pharmacokinetics pharmacodynamics drug interactions and indications for chemotherapy in cancer treatment strategy Cancer Chemotherapy and Pharmacology is essential reading for pharmacologists and oncologists Addresses a wide range of pharmacologic and oncologic concerns Focuses on new anticancer agents screening toxicology drug administration modalities and clinical trials Offers results in related fields clinical toxicology pharmacokinetics pharmacodynamics drug interactions and indications for chemotherapy in cancer treatment strategy 100 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Cancer Communications;Cancer Communications Cancer Research Oncology;
Cancer Convergence;Cancer Convergence Biological and Medical Physics Biophysics Oncology Cell Biology;
Cancer Imaging;Cancer Imaging Oncology Cancer Research Imaging Radiology Nuclear Medicine;
Cancer Immunology Immunotherapy;Cancer Immunology Immunotherapy Oncology Immunology Cancer Research;Since its inception in 1976 Cancer Immunology Immunotherapy CII has reported significant advances in the field of tumor immunology The journal serves as a forum for new concepts and advances in basic translational and clinical cancer immunology and immunotherapy CII is keen to publish broadranging ideas and reviews results which extend or challenge established paradigms as well as negative studies which fail to reproduce experiments that support current paradigms and papers that do succeed in reproducing others results in different contexts Cll is especially interested in papers describing clinical trial designs and outcome regardless of whether they met their designated endpoints or not and particularly those shedding light on immunological mechanisms CII is affiliated with the Association for Cancer Immunotherapy CIMT Canadian Cancer Immunotherapy Consortium CCIC The Japanese Association for Cancer Immunology JACI Network Italiano per la Bioterapia dei Tumori NIBIT and Sociedad Espaola de InmunologiaGrupo Espaola de InmunoTerapia SEIGEIT CIMT httpwwwcimteuhome CCIC httpwwwimmunotherapycancerca JACI httpwwwjacijpengindexhtml NIBIT httpwwwnibitorgindexphp SEIGEIT httpwwwinmunologiaorggruposhomephpUpOm5MUpfqym5uomGK CITIM httpwwwcanceritimorg 94 of authors who answered a survey reported that they would definitely publish or probably publish in the journal again
Cancer Microenvironment;Cancer Microenvironment Cancer Research Oncology Immunology Cell Biology Biochemistry general Biomedicine general;
Cancer Nanotechnology;Cancer Nanotechnology Nanotechnology Cancer Research Biomedical Engineering and Bioengineering Biochemistry general;
